レコードの開始行,レコード番号,会社名,TEL,営業担当者名,見込み時期,業界,顧客ランク,住所,案件名,更新者,作成者,更新日時,作成日時,案件名,活動日,新規/既存[新規],新規/既存[既存],先方担当部署名,社内関係者,販売品目,ステータス,活動内容,文字列 (複数行),受注確度（活動日で変動）,見込み時期,見込額,受注金額
,95,会社C,,担当者003,2026/3/31,金融,年商：10億円?100億円,,DX伴走支援,担当者003,担当者003,2026/3/2 18:12,2026/1/22 16:41,DX伴走支援,2026/1/27,,1,,担当者002,生成AI伴走サービス,初回訪問,メール　チャット,"2月2日に訪問確定。
人物010社長と人物011さんと同行訪問。
当日は下記内容で説明予定。
・会社概要? ※先方は元々会社Eにいらっしゃった方であり、簡易的にに説明予定。
・書きあげクンの概要説明、料金、デモの案内＝＞トライアルの説明で、環境を送る段取りの案内
・時間があれば、「そのほかにも業務でお困りなことがあるかどうかヒアリング」「AI分析レポートについて」",30%,2026/3/31,3000000,0
,95,会社C,,担当者003,2026/3/31,金融,年商：10億円?100億円,,DX伴走支援,担当者003,担当者003,2026/3/2 18:12,2026/1/22 16:41,DX伴走支援,2026/2/2,,1,,担当者002,生成AI伴走サービス,初回訪問,訪問,"先方：代表取締役社長・人物007様
　　　業務本部副本部長　兼　総務部長　　
　　　兼　経営企画室長　兼　生活・環境
　　　事業本部部長・人物008様
　　　情報システム部　副部長・人物009様　　
　　　（元会社E社長）
協力会社Z03：人物010社長
当社：人物011さん、人物A02
【内容】
アウトバウンド音声（営業の録音）とインバウンド音声に対して、モニタリングの業務をしているがアナログで行っていて、かついつだれがというのが現状把握できない仕組みになっている。
言ってはいけないNGワードをいってないかなどのモニタリングは必要。
現状は既存システムS01（携帯）で、録音をしている。
今度、そのあたりのソリューションを提案してもらうのもありかもとのこと。（人物009様）
次回は、協力会社Z01様も含めてヒアリングの機会をもらえる。
まずは、書きあげクンのトライアルで音声データを入れてみての精度をみてみたいとのこと。
現在は既存ツールT01を利用中。
書きあげクンご紹介
⇒議論の場はそれほどない。
報告会な程度で議事録にそれほど時間を要していない状況。
但し上記の通りアウトバウンド、インバウンド音声データの活用は検討されるとのことでまずは書きあげクンのトライアルにて精度を試したいとのこと。",90%,2026/3/31,3000000,0
,95,会社C,,担当者003,2026/3/31,金融,年商：10億円?100億円,,DX伴走支援,担当者003,担当者003,2026/3/2 18:12,2026/1/22 16:41,DX伴走支援,2026/3/2,,1,,"担当者001
担当者002",生成AI伴走サービス,提案,訪問,"情報システム部　副部長・人物009様
情報システム部長係長・人物014様
考査室　兼　AML/CFT対策室・次長・人物015様
【内容】
■業務の登場人物
	考査室・・・①2名がチェック対応（部署にはメンバー4名）
②考査室 次長・・・チェック者から挙がってきたものを2重チェックする
営業・・・・本社と関西の2拠点で約20名

■通話モニタリングの業務の流れ
①営業員がインバウンド/アウトバウンドで、100人～300人の新規受荷電を実施
荷電の結果、今後の継続荷電するか都度営業部内で判断している。
a)NGになった場合　＝＞電話機で、発信制限をする。
b)問題なし　　　　＝＞そのまま
c)アポイント確定　＝＞基本的に荷電した人が商談訪問するが、例外的に「上席のみ」or「上席＆本人」で訪問。
※昔は発信制限がなかったため、A課でNGしていたものがわからずに、B課で架電をしてしまうという問題点があった。

②考査室のメンバーが、100秒以上の通録のものをピックアップしている(件数：1週間で200件（全体）の通録をチェックしている）
③考査室の次長が最終チェック　※ピックアップした内容は共有フォルダにて次長に共有
④考査室からの指摘は、報告資料作成後に営業サイドのほうに渡して、営業内で指導。
※考査チェック対象は、新規勧誘。
※通録はデータセンターで半年ごと消去される仕組みになっているので、バックアップとして抜いて別のDBで保管している。
■工数
モニタリングがアナログ（手作業） で、担当者が録音を一件ずつ聴取している状態
1件あたりのかかる時間
音声の確認：録音時間の長さによるが平均して（営業への報告資料作成が重い）15分～20分程度
＝＞前日分のモニタリングをしており、半日ほどかかっている。
また、全ての荷電がチェックしきれてないので、その部分をカバー出来たら。
■要望
①NGワードの検出や不招請勧誘だけでなく、「必ず言わなければいけないことを営業が伝えているか」もチェックしてほしい。
=>NGワードの検出リスト、不招請勧誘リスト、営業が伝える必須リストは、先方のほうで用意あり。
②営業は、もし荷電に対してのサマリがあれば、日々の対応の日誌で、営業も助かるポイントである。
③本当はリアルタイム性があったほうがいいが価格との兼ね合いで要相談の余地があり。
④画面上で上がってきた内容をチェックする時に、既読と未読が区別できれば、チェックが翌日に持ち越したとしても未読を中心みればいいので、
機能としてはほしい。
=>基本的には、UIモック頂いたもので足りると思うとのこと。
■先方が考えるメリット
＜Cost（コスト）＞
・考査室は、メンバーの日々のチェック工数削減
・営業マンの日誌で、日々の工数削減
＜品質（Quality）＞
・考査室は、これまでは全ての荷電をチェックしきれてなかったので、それができれば網羅性がある程度担保できる。
・考査室は、発信制限は営業側が自己（もしくは部署内）で判断しているので客観性が欠ける部分があるので、
　その部分を解決できれば質もあがる
■懸念点
・人物009様と考査室的にはでもすぐにでも進めたいが、営業からは反対があがっている。
・ただ、会社としては重要度が高いので、精度が高ければ営業から反対しても通すことはできる。
・電話のシステム既存システムS02からは1つずつDLしているので、一括で落とせるか or APIで連携できるか。
既存システムS02担当者と話す必要があるが、当社としては費用が気になるところ。",90%,2026/7/31,10000000,0
*,94,会社E,,担当者003,2026/1/30,金融,年商：100億円以上,,書きあげクン案件,担当者003,担当者003,2026/3/4 10:03,2026/1/22 16:31,書きあげクン案件,2026/1/22,1,,社長室,"担当者001
担当者002",書きあげクン,受注,メール　チャット,"トライアル中であった書きあげクンの本申込。
人物016さんに書きあげクン申込手続きのご案内済み。
2月開始予定。
申込書受領次第で稟議対応と環境作成等対応する",90%,2026/1/30,484000,0
,94,会社E,,担当者003,2026/1/30,金融,年商：100億円以上,,書きあげクン案件,担当者003,担当者003,2026/3/4 10:03,2026/1/22 16:31,書きあげクン案件,2026/2/4,,1,社長室,"担当者001
担当者002",書きあげクン,受注,メール　チャット,"書きあげクンの利用にあたって下記質問あり回答

>・トライアル利用と本番利用で、セキュリティ上の相違点は有りますでしょうか。
相違点はございません。
トライアルプランを本番プラン（今回の場合、スタートプラン）へ変更するのみですので、
同環境でご利用が可能となっております。

>・マスターと子ID利用等で権限設定で相違が有りますでしょうか。
①マスターアカウントは管理者権限（管理者ユーザー）を持っておりますので、
子IDとしての「一般ユーザー」を作成することが可能でございます。
「一般ユーザー」はアカウント作成権限を持っていないため、他ユーザーを作成することができません。そちらが大きな違いでございます。

②あとは、ファイルの作成後の変更や削除で違いがございます。
■ファイル作成後の変更:
全てのユーザー（一般ユーザー・管理者ユーザー）は、自分がアップロード/録音したファイルのみ公開・非公開の変更が可能です。
管理者であっても、他のユーザーが作成したファイルの公開・非公開を変更することはできません。

■ファイル作成後の削除:
ファイルの削除は、作成者本人に加えて、管理者は実行可能です。 
しかし、一般ユーザーは自分がアップロード／録音したファイルのみ削除でき、他のユーザーが作成したファイルを削除することはできません。",90%,2026/2/4,484000,0
,94,会社E,,担当者003,2026/1/30,金融,年商：100億円以上,,書きあげクン案件,担当者003,担当者003,2026/3/4 10:03,2026/1/22 16:31,書きあげクン案件,2026/3/2,,1,社長室,"担当者001
担当者002",書きあげクン,契約,その他,"社内手続きを完了し、トライアルから本番環境への移行済み。
協力会社Z03の担当者にも移行完了していること報告済みであり、3月から請求月が開始。",90%,2026/2/28,484000,484000
*,93,会社F,,担当者003,2026/2/27,システム開発,年商：10億円?100億円,某所,ネットワーク等環境構築案件,担当者003,担当者003,2026/3/11 10:46,2026/1/20 18:45,ネットワーク等環境構築案件,2026/1/20,1,,,,システム受託,引き合い,オンライン,"元当社従業員の人物020さんが転職した会社からの相談（人物020さんが今いる会社から）。当社のひな型でNDAを締結後に詳細の打ち合わせを当社の必要人員をアサインして行う予定。
費用感など問題なければ契約締結予定【概要】
会社が引っ越し予定であり（4月1日付予定）、当社が増床で引っ越しした時のようにネットワーク構築を依頼いただきました。（Wi-Fi設定やパソコンのセットアップ、ファイヤーウォール、セキュリティ設定やVPN設定など）
月額125万～150万　　　3か月～6か月間の期間でお願いしたいとのこと。まずは引っ越しの4月1日に合わせて基本的な環境構築はお願いしたいが、業務運営ができる最低限の構築後にセキュリティなどの強化などその後も順序立てた作業対応と、何かあった際のフォロー対応なども含めてお願いしたい為に3か月～6か月とのこと。人物020さん的にも当社の人物017さんや人物018さん、人物019さんなど情シスの誰かが対応できるのではないかと考えており、1人工で月額125万～150万程度かなという感覚。もし2人工かかりそうなのであれば費用は150万以上とプラスでかかる認識であり、その際は仰って欲しいとのことでした。担当窓口は完全に人物020さん（現在は情報システム部はないが、今後は人員を採用して情報システム部を作る予定）簡易的な全体範囲の資料（1枚ペラ）はいただいたので添付いたします。",70%,2026/2/27,9000000,0
,93,会社F,,担当者003,2026/2/27,システム開発,年商：10億円?100億円,某所,ネットワーク等環境構築案件,担当者003,担当者003,2026/3/11 10:46,2026/1/20 18:45,ネットワーク等環境構築案件,2026/1/27,,1,,担当者001,システム受託,提案,メール　チャット,"NDAについて社内稟議承認済み。
GMOサインにて契約手続き中。
締結次第で情報受領し詳細つめる予定
",70%,2026/2/27,9000000,0
,93,会社F,,担当者003,2026/2/27,システム開発,年商：10億円?100億円,某所,ネットワーク等環境構築案件,担当者003,担当者003,2026/3/11 10:46,2026/1/20 18:45,ネットワーク等環境構築案件,2026/2/4,,1,,"担当者001
担当者007",システム受託,提案,メール　チャット,"NDAについて契約締結済み。

詳細ヒアリングをする為の日程調整中。",70%,2026/2/27,9000000,0
,93,会社F,,担当者003,2026/2/27,システム開発,年商：10億円?100億円,某所,ネットワーク等環境構築案件,担当者003,担当者003,2026/3/11 10:46,2026/1/20 18:45,ネットワーク等環境構築案件,2026/2/10,,1,,"担当者001
担当者007",システム受託,提案,メール　チャット,"10人物A06様と面談。（人物021さん、人物017さん、人物022さん同席のもと）
詳細についてお伺い。
当日投影した資料を更新し12日に受領。
追加の質問について13日に連絡。
17日までに返答をほしい旨お伝えしており返答待ちのステータス（16日現在）
返答もらい次第で金額算出してその後問題がなければ契約予定。",70%,2026/2/16,9000000,0
,93,会社F,,担当者003,2026/2/27,システム開発,年商：10億円?100億円,某所,ネットワーク等環境構築案件,担当者003,担当者003,2026/3/11 10:46,2026/1/20 18:45,ネットワーク等環境構築案件,2026/2/18,,1,,"担当者001
担当者007",システム受託,提案,メール　チャット,"17日に質問の回答あり、追加で質問を送付。返信回答待ち。
その後見積もり算出して同意後に契約締結",70%,2026/2/18,9000000,0
,93,会社F,,担当者003,2026/2/27,システム開発,年商：10億円?100億円,某所,ネットワーク等環境構築案件,担当者003,担当者003,2026/3/11 10:46,2026/1/20 18:45,ネットワーク等環境構築案件,2026/2/19,,1,,"担当者001
担当者007",システム受託,提案,メール　チャット,"武様
【内容】
質問について回答をいただく。
概算費用は社内で算出済であるが、金額提示前の最終確認と詳細確認の為、直近で日程調整中。
ネットワークの設計と機器の設定については先行して3月、4月で行う予定のため、契約についても早めに対応できるよう先方へのリマインド含めてスピード感もって進められるよう対応していく。",70%,2026/2/19,9000000,0
,93,会社F,,担当者003,2026/2/27,システム開発,年商：10億円?100億円,某所,ネットワーク等環境構築案件,担当者003,担当者003,2026/3/11 10:46,2026/1/20 18:45,ネットワーク等環境構築案件,2026/2/20,,1,,"担当者001
担当者007
担当者008
担当者009",システム受託,見積,オンライン,"武様
【内容】
作業対応について明確な期日は？
⇒できたタイミングで優先順位決めて優先順位高いものから対応していくでOK。　　期日を決めてしまうとタイトな中で焦らす形になってしまうので、できるものからで大丈夫とのこと。

ネットワークについていくつか詳細確認。
前半3か月で作業設定を行い、後半3か月で4月で新しく入社される方へ引継ぎ等対応の想定。
この方がどのレベルで主導で対応いただけるかによって後出しとなる②の見積もり金額が変わってくる。
6か月目が最終の限度ではなく、状況次第でスケジュールを後ろにずらすことも検討可能。
アカウントを管理仕組みは？いれる可能性は？
⇒いれる予定、入れたい予定であるが、やる人が自社にはいない状況。
office365が入っている。
PCキッティングは将来的に100台になる予定。現在40台程度。
ADとセキュリティが未確定な状況であり、決まってからキッティングをした方が何度手間にならずにすみそうと説明。
Macはない。
基本的にWindows
スマートフォンの貸与は現在なく、今後もない予定。
グループウェアはSlackを利用。
今後
基本契約のドラフトを受領する
⇒個別契約の項目を明記していただく。
見積り、発注での対応であれば当方でも対応可能なことお伝え。
請負でやるのか、準委任でやるのかは明確にして提示いただく。
⇒先方の執行役員は準委任で良いと発言していたとのことだが改めて確認してくれる。
①ネットワーク設計、構築、設定（優先）
②キッティング、作業は4月以降

基本契約のドラフトは来週中旬にはいただける予定。受領次第で社内手続きして対応していく。
",90%,2026/2/28,9000000,0
,93,会社F,,担当者003,2026/2/27,システム開発,年商：10億円?100億円,某所,ネットワーク等環境構築案件,担当者003,担当者003,2026/3/11 10:46,2026/1/20 18:45,ネットワーク等環境構築案件,2026/3/4,,1,,"担当者001
担当者007
担当者008
担当者009",システム受託,見積,メール　チャット,"まずはネットワーク設計と構築見積りのみの提示及び契約書の修正案について提示済み。
先方で確認中（法務担当者確認中）とのことで連絡があり、待ちの状況。",90%,2026/3/4,3535400,0
,93,会社F,,担当者003,2026/2/27,システム開発,年商：10億円?100億円,某所,ネットワーク等環境構築案件,担当者003,担当者003,2026/3/11 10:46,2026/1/20 18:45,ネットワーク等環境構築案件,2026/3/11,,1,,"担当者001
担当者007
担当者008
担当者009",システム受託,受注,メール　チャット,"契約書の修正案及び見積もり金額と内容について問題ないことで連絡あり。
同時に電子契約のご案内もいただく。
社内稟議決裁後に電子契約で締結予定。
その後、スケジュール再度精査して作業対応を行っていく。",90%,2026/3/11,3535400,0
*,92,会社G,,担当者003,2026/12/31,金融,年商：10億円?100億円,,金融システムリプレイス案件,担当者001,担当者003,2026/3/12 9:33,2026/1/14 18:10,金融システムリプレイス案件,2026/1/14,1,,,担当者001,金融システム開発,初回訪問,オンライン,"人物023様　　　
https://example.com/
暗号資産の申告分離課税への移行に伴い何かお手伝いできることがあるかないかの情報交換
トレイダーズでみんなのコインを運用していて証拠金の実績はある会社であること説明。
NDAの締結前であり提示できる情報は限定的だと仰せ。
現在基幹システムの移行に動いている。がしっかり移行ができるのか不安に感じていると話す。
現行のサービス利用料は高め。コストの負担が大きい（会社規模にあっていないと感じている）
レベニューシェアではなく月額。イニシャル20,000千円～30,000千円程度？？　　　改修や増追加毎に費用もかさむ　　
当社の製品を導入すれば金商法の対応は問題ないと考えてよいのか
⇒必ずしもそうではないが基本的に担当者が同一なのであれば問題ないかなと思っている。意外と金商法の視点も担当者によって変わってくることがあること説明。
現行のシステム費用と比較して安価な提案できることもお伝えし推進済。
今後
NDA締結予定⇒その後現行の費用と当社で対応した際の費用を参考提示する
先方のＮＤＡドラフトを送付いただく⇒ドラフト確認して問題ないことをお伝えする⇒※ここから2～3週間かかるとのこと※電子契約の際は当方から電子契約の案内をする（GMOサインであることお伝え済）
現行システム：シンプレクス　　　",30%,2026/12/31,20000000,0
,92,会社G,,担当者003,2026/12/31,金融,年商：10億円?100億円,,金融システムリプレイス案件,担当者001,担当者003,2026/3/12 9:33,2026/1/14 18:10,金融システムリプレイス,2026/3/11,1,,システム部,,システム受託,契約,メール　チャット,NDAについて、文案はFIXしたものの契約稟議には更に時間がかかるとのこと　待ち状態,30%,2026/3/12,20000000,0
*,91,会社H,000-0000-0000,担当者001,2026/1/7,金融,年商：1億円未満,某所,暗号資産証拠金取引システム,担当者001,担当者001,2026/1/7 18:21,2026/1/7 18:21,暗号資産証拠金取引システム,2026/1/7,1,,オペレーション本部長　小栁裕樹,,金融システム開発,提案,メール　チャット,"以前coinbook時代にシステム導入検討。
今回暗号資産が金商法に切り替わるにあたりシステムの刷新の必要性がないかを打診。課題としてはとらえているが、社内体制を整えてから再度連絡。",30%,2026/1/7,10000000,0
*,90,会社I,,担当者003,2026/12/31,運輸物流,年商：10億円?100億円,某所,DX伴走支援,担当者003,担当者003,2026/1/5 9:19,2026/1/5 9:19,DX伴走支援,2025/12/30,1,,経理,,DX案件,初回訪問,訪問,"会社全体としてDX推進を進めていこうと意見が多数でており前向きではあるものの、何から始めて良いか分からないことや先頭に立って取り組もうとしている積極的な人材はおらず進みが遅い状況。
弊社のDX伴走支援サービスのご紹介をしたところ、会社全体で共有してみますとのことであった。
勉強会やセミナーの開催などからご支援できることやスポットで必要と感じる部分のみのご支援も可能であることお伝えし興味をいただいた。
令和8年度において情報交換を行いながらの対応になりそうではあるが、動き出しの際はご相談をいただけるとのことであった。",30%,2026/12/31,3000000,3000000
*,89,会社J,,担当者003,2026/12/31,製造,年商：10億円?100億円,某所,DX伴走支援,担当者003,担当者003,2026/1/15 9:52,2026/1/5 9:06,DX伴走支援,2026/1/5,1,,経理・総務,,DX案件,初回訪問,訪問,会社全体としてDX推進を進めていこうというフェーズにある。令和８年度を通してトップダウンで少しずつ情報収集を進め、パッケージ製品の活用もしくは、社内情報整理がついた際は自社に合ったソリューションの活用をしていく予定。,30%,2026/12/31,1000000,1000000
*,88,会社K,,担当者010,2025/12/30,,年商：1億円?10億円,某所,システム開発受託,担当者010,担当者010,2026/1/19 18:38,2025/12/30 16:06,システム開発受託,2025/12/29,1,,,,システム受託,引き合い,電話,"会社K様が抱える顧客から、システム開発の相談を受ける。

実際に開発できるものなのか検討するにあたり、顧客に展開してもらう必要のあるデータ待ち。

金額は未定",50%,2025/12/29,0,0
,88,会社K,,担当者010,2025/12/30,,年商：1億円?10億円,某所,システム開発受託,担当者010,担当者010,2026/1/19 18:38,2025/12/30 16:06,システム開発受託,2026/1/19,1,,,,システム受託,提案,訪問,"NDA締結次第、先方の相談内容確認。
NDAは稟議申請中。",50%,2026/1/19,0,0
*,87,会社L,,担当者010,2025/12/26,,年商：1億円未満,某所,書きあげクン,担当者010,担当者010,2026/2/3 20:05,2025/12/30 15:57,書きあげクン,2025/12/26,1,,,担当者011,書きあげクン,初回訪問,オンライン,"Dearsという全国に180店舗近くを展開している美容室のオーナー様から、個人を大切にするためにどのような会話をしていたのかをカルテに残し、次回来店時に活用したいとのこと。

顧客管理アプリはもともと存在するので、連携して転記されるのが理想。

概算提示済み。
Dearsオーナー様へ提案してもらう。",30%,2025/12/26,8500000,0
,87,会社L,,担当者010,2025/12/26,,年商：1億円未満,某所,書きあげクン,担当者010,担当者010,2026/2/3 20:05,2025/12/30 15:57,書きあげクン,2026/1/6,1,,,担当者011,システム受託,見積,メール　チャット,"提案資料送付
いつごろ提案予定か、フィードバックいただきたい旨を連絡",30%,2026/1/6,8500000,0
,87,会社L,,担当者010,2025/12/26,,年商：1億円未満,某所,書きあげクン,担当者010,担当者010,2026/2/3 20:05,2025/12/30 15:57,書きあげクン,2026/2/3,1,,,担当者011,システム受託,提案,メール　チャット,"進捗確認
今すぐの話にはならなさそうとのことで一旦保留。
継続して追っていく。
他顧客で困っている方がいないか紹介依頼中",30%,2026/2/3,8500000,0
*,86,会社M,,担当者003,2026/1/30,製造,年商：10億円?100億円,某所,DX伴走支援案件,担当者003,担当者003,2026/3/4 8:40,2025/12/26 12:17,DX伴走支援案件,2025/12/22,,1,社長、取締役、総務部長、総務担当,"担当者001
担当者002",DX案件,提案,訪問,"AI議事録要約を検討中。
書きあげクンかDifyでの提案かは22日の訪問時に再度紹介し判断予定。
書きあげクンの見積もりは提示済み。
その他、DX推進を会社全体として取り組もうとしており、外部委託で生成AIなどITリテラシー向上のセミナーや勉強会を直近で行っている。
弊社として議事録要約以外にも提案の余地があり、クロスセル提案に向けて活動中。
セミナー後に収集したアンケート情報をいただく。生成AIで何がしたいかなど情報があり相談いただいたことで提案に向けた対応中。1月に再度打ち合わせ予定",50%,,5000000,0
